rank,episode_index,n_frames,mean_jerk,max_jerk,std_jerk,action_variance,discontinuity_count,lyapunov_violation_rate,lyapunov_decay_rate,compounding_drift_slope,smoothness_score,continuity_score,lyapunov_score,drift_score,stability_score
1,23,561,2.056,12.8856,1.4143,148.6373,12,0.3732,0.011002,-0.001451,0.5026,0.9786,0.4201,0.5004,0.6005
2,10,709,1.7875,10.5045,1.3185,157.3255,14,0.3347,0.010702,-0.001748,0.4782,0.9802,0.442,0.5005,0.5991
3,9,691,2.1333,15.0404,1.4817,140.7373,15,0.3768,0.004822,-0.000672,0.4993,0.9783,0.3932,0.5002,0.5927
4,22,488,2.0244,18.8239,1.617,107.6456,7,0.347,0.01299,1.6e-05,0.4499,0.9856,0.4437,0.5,0.5923
5,46,754,1.9469,16.2225,1.4958,104.9272,18,0.3333,0.00604,-0.000854,0.4638,0.9761,0.4242,0.5002,0.5893
6,34,509,2.2169,15.2113,1.7538,175.8564,10,0.374,0.011937,-0.000289,0.4533,0.9803,0.4233,0.5001,0.5869
7,48,611,2.0077,14.256,1.6163,170.2907,13,0.3639,0.007362,-0.001229,0.4471,0.9787,0.4111,0.5003,0.5816
8,47,1154,1.8582,18.1713,1.5732,149.6561,24,0.3322,0.007728,-0.001068,0.4289,0.9792,0.4316,0.5003,0.5814
9,19,1188,2.4312,15.2616,1.7338,162.5613,22,0.4271,0.001565,-0.000113,0.4901,0.9815,0.35,0.5,0.5799
10,5,472,2.0463,14.711,1.6555,140.8341,13,0.3779,0.009409,-0.001568,0.4453,0.9724,0.4109,0.5004,0.5795
11,4,1188,2.2975,19.5427,1.742,115.1042,25,0.3951,0.002113,-0.000268,0.4685,0.9789,0.3714,0.5001,0.5781
12,28,1196,2.1435,17.0502,1.6619,125.8806,26,0.39,0.0016,0.000101,0.4605,0.9782,0.3724,0.5,0.5758
13,26,767,2.2988,14.3885,1.7434,178.6292,20,0.4373,0.006802,-0.001446,0.4684,0.9739,0.3648,0.5003,0.5753
14,41,851,2.1867,20.7219,1.6078,182.6516,15,0.4388,0.000848,0.000168,0.4794,0.9824,0.3401,0.5,0.5744
15,6,852,2.3045,13.4414,1.8063,114.0973,18,0.4207,0.005135,-0.000583,0.4567,0.9788,0.3681,0.5001,0.5738
16,27,501,2.1594,11.9788,1.4689,140.4144,9,0.502,0.001407,-0.00026,0.5065,0.982,0.3044,0.5001,0.5736
17,16,1189,2.3399,22.2988,1.6302,127.0522,18,0.4933,0.000531,-0.000237,0.4982,0.9848,0.3062,0.5001,0.5722
18,49,1147,1.9201,14.8279,1.5708,136.4305,19,0.4119,0.004871,-0.000213,0.4413,0.9834,0.3724,0.5001,0.5713
19,13,1190,2.3246,17.3571,1.6787,166.5999,21,0.471,0.000572,0.000462,0.4857,0.9823,0.3197,0.4999,0.5712
20,43,888,2.1147,28.2742,1.7772,228.0276,17,0.4002,0.006354,-0.000401,0.4315,0.9808,0.3853,0.5001,0.571
21,35,687,2.3845,32.898,2.0272,200.0184,10,0.395,0.005219,4.9e-05,0.4274,0.9854,0.3839,0.5,0.5705
22,0,565,2.0814,26.576,1.7825,127.9814,9,0.4007,0.006174,-0.000137,0.4247,0.984,0.3843,0.5,0.5695
23,33,1200,1.8149,13.2817,1.5619,72.3941,30,0.3636,0.003428,-0.000254,0.4229,0.975,0.3955,0.5001,0.5695
24,18,582,2.5689,21.042,2.0799,119.7553,12,0.4337,0.006149,0.001736,0.445,0.9793,0.3644,0.4997,0.5694
25,29,1191,2.3139,15.6953,1.8223,157.984,24,0.437,0.003352,5.8e-05,0.455,0.9798,0.3512,0.5,0.5692
26,36,1024,2.1653,19.4729,1.6399,199.416,19,0.4594,0.000781,0.000389,0.4689,0.9814,0.3275,0.4999,0.5679
