section,parameter,channel,value
meta,name,-,pooled
meta,n_episodes,-,42
threshold,theta,E_RMS,12.41088824
threshold,theta,J_RMS,17974.43127
threshold,theta,neg_SPARC,1.989213135
threshold,theta,rho_HF,0.7979270007
threshold,theta,sigma_bar,0
threshold,delta_a,shoulder_pan,2.779660988
threshold,delta_a,shoulder_lift,5.452614594
threshold,delta_a,elbow_flex,7.173592758
threshold,delta_a,wrist_flex,5.28662262
threshold,delta_a,wrist_roll,5.408828735
threshold,delta_a,gripper,11.29173946
threshold,delta_q,shoulder_pan,2.549449921
threshold,delta_q,shoulder_lift,5.186815262
threshold,delta_q,elbow_flex,6.417580032
threshold,delta_q,wrist_flex,4.659339905
threshold,delta_q,wrist_roll,4.659339905
threshold,delta_q,gripper,8.663532734
threshold,a_min,shoulder_pan,-52.09475832
threshold,a_min,shoulder_lift,-14.23084383
threshold,a_min,elbow_flex,-91.91267357
threshold,a_min,wrist_flex,61.30427132
threshold,a_min,wrist_roll,-161.5316383
threshold,a_min,gripper,-2.469380474
threshold,a_max,shoulder_pan,16.43656473
threshold,a_max,shoulder_lift,67.94032984
threshold,a_max,elbow_flex,23.55509148
threshold,a_max,wrist_flex,103.7116665
threshold,a_max,wrist_roll,-22.82769089
threshold,a_max,gripper,51.46024237
summary,n_finite,E_RMS,28727
summary,median,E_RMS,9.024333231
summary,p95,E_RMS,12.41088824
summary,p99,E_RMS,14.38223738
summary,max,E_RMS,23.64480098
summary,n_finite,J_RMS,28601
summary,median,J_RMS,8195.395804
summary,p95,J_RMS,17974.43127
summary,p99,J_RMS,30853.28667
summary,max,J_RMS,45894.73952
summary,n_finite,neg_SPARC,28769
summary,median,neg_SPARC,1.694485312
summary,p95,neg_SPARC,1.989213135
summary,p99,neg_SPARC,2.195838989
summary,max,neg_SPARC,3.637075787
summary,n_finite,rho_HF,28727
summary,median,rho_HF,0.5360140498
summary,p95,rho_HF,0.7979270007
summary,p99,rho_HF,0.8700945366
summary,max,rho_HF,0.956966085
summary,n_finite,sigma_bar,28769
summary,median,sigma_bar,0
summary,p95,sigma_bar,0
summary,p99,sigma_bar,0
summary,max,sigma_bar,0
