episode_index,n_checks,mean_interrupt_prob,peak_ema_score,final_ema_score,final_interrupt,first_interrupt_ts,final_pickup_attempts,final_drop_attempts,final_reason,target_reached,clean_pickup,pickup_attempts,clean_drop,drop_recorrected,max_probability,avg_probability,success_window,time_to_first_pickup_s,time_to_complete_s,label_success,label_pick,label_drop
0,14,0.243,0.293,0.147,False,,2,1,"The robot successfully picked up the block and placed it into the target with a single drop, indicating clean execution and task accomplishment.",True,False,2,True,False,0.9,0.418,next_15s,18.0,18.0,True,clean,clean_with_correction
1,7,0.048,0.047,0.047,False,,2,1,"The robot successfully picked up the block with a single re-grasp and placed it accurately into the target, demonstrating clean execution and a converging stability trend.",True,False,2,True,False,0.1,0.1,first_15s,10.0,12.0,False,messy,failed
2,10,0.306,0.373,0.207,False,,1,1,"The robot successfully picked up the orange block and placed it into the square cutout with a single attempt for both actions, completing the task.",True,True,1,True,False,0.9,0.55,next_15s,20.0,20.0,True,clean,clean
3,8,0.135,0.149,0.085,False,,2,1,"The robot experienced a minor slip, dropping the block once after an initial pickup, but successfully re-grasped it and is now proceeding towards the target.",True,False,2,True,False,0.9,0.319,next_15s,12.0,16.0,False,messy,failed
0,12,0.312,0.371,0.207,False,,1,1,"The robot successfully picked up the block in one attempt and placed it into the target in one attempt, completing the task smoothly.",True,False,2,True,False,1.0,0.546,next_15s,18.0,26.0,True,clean,clean_with_correction
1,7,0.141,0.175,0.128,False,,2,1,"The robot successfully picked and placed the block into the target with a single re-grasp, and the task was accomplished.",True,False,2,False,False,0.8,0.293,first_15s,10.0,12.0,False,messy,failed
2,9,0.26,0.305,0.177,False,,2,1,"The robot successfully picked up the block and is actively attempting to place it into the target, with a single re-grasp and implied slip, and the stability metrics are converging.",True,False,2,True,False,0.9,0.511,next_15s,18.0,20.0,True,clean,clean
3,8,0.104,0.108,0.108,False,,2,1,"The robot experienced a minor hiccup by dropping the block after the initial pickup, but successfully re-grasped it and is continuing towards the target.",True,False,2,True,False,0.7,0.275,first_15s,10.0,14.0,False,messy,failed
4,4,0.039,0.028,0.028,False,,1,1,"The robot successfully picked up and placed the block in the target with a single attempt for both pickup and drop, exhibiting stable motion throughout the task.",True,True,1,True,False,0.1,0.1,first_15s,10.0,10.0,False,failed,not_attempted
5,9,0.076,0.07,0.07,False,,2,1,"The robot successfully picked up the block with one re-grasp and placed it into the target, completing the task efficiently.",True,False,2,True,False,0.9,0.267,first_15s,10.0,10.0,True,clean,clean
6,6,0.071,0.051,0.051,False,,2,1,"The robot successfully picked up the block with one re-grasp and placed it into the target, with normal stability metrics and a converging Lyapunov trend.",True,False,2,True,False,0.4,0.15,first_15s,10.0,12.0,False,messy,failed
7,6,0.109,0.101,0.101,False,,2,2,"The robot picked up and dropped the block twice without successfully placing it in the target, indicating it is struggling to complete the task.",True,False,2,False,False,0.7,0.317,first_15s,10.0,12.0,False,clean,failed
8,3,0.258,0.15,0.15,False,,1,1,"The robot successfully picked up the block, but the gripper opened prematurely (a drop attempt) while the block remained in the gripper, indicating a failure to properly release or maintain grasp, and the task is not accomplished.",False,True,1,True,,0.9,0.567,,14.0,,True,clean,clean
9,4,0.176,0.117,0.111,False,,2,1,"The robot successfully picked up the block and placed it accurately into the target hole, completing the task with minimal attempts.",True,False,2,True,False,0.7,0.3,next_15s,16.0,20.0,True,clean,clean
10,7,0.212,0.2,0.2,False,,1,1,"The robot successfully picked and placed the block with a single attempt for both actions, and the stability metrics indicate a converging trend.",True,True,1,True,False,0.9,0.429,next_15s,12.0,22.0,,,
11,4,0.039,0.028,0.028,False,,2,1,"The robot successfully picked up and placed the block into the target with a stable grasp and a single drop, and the system stability is good.",True,False,2,True,False,0.1,0.1,first_15s,10.0,14.0,,,
12,1,0.033,0.008,0.008,False,,1,0,"The robot successfully picked up the orange block in one attempt and is holding it stably, but the task is not yet accomplished as the block has not been placed.",False,True,1,,,0.1,0.1,,10.0,,,,
13,6,0.181,0.179,0.105,False,,2,1,"The robot successfully picked and placed the block into the target with a single re-grasp and clean drop, and stability metrics show a converging trend.",True,False,2,True,False,0.9,0.35,next_15s,14.0,16.0,,,
14,4,0.053,0.037,0.037,False,,2,1,"The robot successfully picked up the block with a single re-grasp and placed it cleanly into the target, completing the task.",True,False,2,True,False,0.1,0.1,first_15s,14.0,14.0,,,
15,2,0.128,0.061,0.061,False,,1,1,"The robot successfully picked up the block but then dropped it before placing it at the target, indicating a failure to complete the task.",False,True,1,True,,0.7,0.4,,14.0,,,,
16,4,0.091,0.057,0.057,False,,2,2,"The robot successfully picked up and placed the block into the target, demonstrating adaptive behavior with a re-grasp and a minor slip, while maintaining a converging stability trend.",True,False,2,False,False,0.25,0.137,next_15s,16.0,16.0,,,
17,2,0.035,0.015,0.015,False,,1,0,The robot successfully picked up the orange cube in a single attempt and is holding it stably; the task is not yet accomplished as the block has not been placed.,False,True,1,,,0.1,0.1,,10.0,,,,
18,5,0.042,0.034,0.034,False,,1,1,"The robot successfully picked up the block, but the gripper opened without releasing the block to the target, leaving the block stuck in the gripper and the task unaccomplished.",True,True,1,True,False,0.6,0.2,first_15s,10.0,14.0,,,
19,4,0.098,0.061,0.061,False,,1,1,"The robot successfully picked up and placed the block in the target with a single attempt for both actions, and the system showed a converging trend.",True,True,1,True,False,0.3,0.15,next_15s,14.0,20.0,,,
20,4,0.079,0.055,0.055,False,,2,2,"The robot successfully picked up and placed the block, making a minor adjustment to fully seat it in the target, indicating clean execution.",True,False,2,False,False,0.1,0.1,next_15s,22.0,22.0,,,
21,3,0.118,0.068,0.068,False,,2,1,"The robot successfully picked up the block, but then dropped it before placing it in the target, requiring a second pickup attempt; the task is not accomplished.",True,False,2,False,True,0.7,0.4,first_15s,10.0,12.0,,,
22,2,0.05,0.022,0.022,False,,1,0,"The robot successfully picked up the block in one attempt and is holding it stably, indicating good progress towards the task.",False,True,1,,,0.1,0.1,,14.0,,,,
23,3,0.45,0.263,0.263,False,,2,0,"The robot successfully picked up the block and placed it into the target hole, but it failed to release the block and is still holding it at the end of the sequence, indicating the task is not accomplished.",False,False,2,,,0.9,0.9,,16.0,,,,
24,2,0.235,0.099,0.099,False,,1,0,"The robot successfully picked up the block in a single attempt and is holding it stably, continuing the task without any observed issues.",False,True,1,,,0.9,0.5,,12.0,,,,
25,6,0.046,0.042,0.042,False,,1,1,"The robot successfully picked up the block in one attempt and placed it at the target in one attempt, completing the task cleanly.",True,True,1,True,False,0.3,0.133,first_15s,10.0,12.0,,,
